Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2017-02-14,,,,55.38,0.16,,2265.0,3748.0,,,
2017-02-13,,,,55.22,-0.83,,96.0,3743.0,,,
2017-02-10,,,,56.05,0.75,,75.0,3757.0,,,
2017-02-09,,,,55.3,0.49,,59.0,3758.0,,,
2017-02-08,,,,54.81,0.04,,244.0,3723.0,,,
2017-02-07,,,,54.77,-0.88,,145.0,3681.0,,,
2017-02-06,,,,55.65,-0.69,,126.0,3671.0,,,
2017-02-03,,,,56.34,0.37,,273.0,3610.0,,,
2017-02-02,,,,55.97,-0.23,,971.0,2896.0,,,
2017-02-01,,,,56.2,0.78,,278.0,2882.0,,,
2017-01-31,,,,55.42,0.1,,883.0,2259.0,,,
2017-01-30,,,,55.32,-0.24,,978.0,1615.0,,,
2017-01-27,,,,55.56,-0.7,,734.0,1345.0,,,
2017-01-26,,,,56.26,0.79,,1211.0,1543.0,,,
2017-01-25,,,,55.47,-0.43,,488.0,1870.0,,,
2017-01-24,,,,55.9,0.14,,160.0,1964.0,,,
2017-01-23,,,,55.76,-0.35,,116.0,1964.0,,,
2017-01-20,,,,56.11,1.0,,108.0,1964.0,,,
2017-01-19,,,,55.11,0.14,,120.0,1963.0,,,
2017-01-18,,,,54.97,-1.26,,228.0,1985.0,,,
2017-01-17,,,,56.23,-0.43,,56.0,1985.0,,,
2017-01-16,,,,56.66,0.28,,6.0,1985.0,,,
2017-01-13,,,,56.38,-0.68,,262.0,1854.0,,,
2017-01-12,,,,57.06,0.72,,594.0,1721.0,,,
2017-01-11,,,,56.34,1.14,,544.0,1653.0,,,
2017-01-10,,,,55.2,-0.9,,375.0,1355.0,,,
2017-01-09,,,,56.1,-1.5,,147.0,1367.0,,,
2017-01-06,,,,57.6,0.24,,103.0,1372.0,,,
2017-01-05,,,,57.36,0.4,,55.0,1335.0,,,
2017-01-04,,,,56.96,1.02,,68.0,1374.0,,,
2017-01-03,,,,55.94,-0.97,,41.0,1365.0,,,
2017-01-02,,,,56.91,0.0,,,1365.0,,,
2016-12-30,,,,56.91,-0.04,,41.0,1382.0,,,
2016-12-29,,,,56.95,0.0,,9.0,1386.0,,,190.0
2016-12-28,,,,56.95,0.19,,28.0,1379.0,,,
2016-12-27,,,,56.76,,,21.0,1368.0,,,
2016-12-23,,,,56.13,0.15,,19.0,1374.0,,,
2016-12-22,,,,55.98,0.45,,62.0,1331.0,,,
2016-12-21,,,,55.53,-0.69,,54.0,1316.0,,,
2016-12-20,,,,56.22,0.62,,224.0,1220.0,,,
2016-12-19,,,,55.6,0.07,,11.0,1212.0,,,
2016-12-16,,,,55.53,0.66,,58.0,1180.0,,,
2016-12-15,,,,54.87,0.0,,85.0,1189.0,,,
2016-12-14,,,,54.87,-1.07,,128.0,1081.0,,,
2016-12-13,,,,55.94,0.35,,49.0,1049.0,,,
2016-12-12,,,,55.59,0.51,,213.0,977.0,,,
2016-12-09,,,,55.08,0.41,,59.0,946.0,,,
2016-12-08,,,,54.67,0.47,,45.0,932.0,,,
2016-12-07,,,,54.2,-0.7,,6.0,938.0,,,
2016-12-06,,,,54.9,-0.68,,25.0,940.0,,,
2016-12-05,,,,55.58,0.65,,39.0,940.0,,,
2016-12-02,,,,54.93,0.89,,74.0,949.0,,,
2016-12-01,,,,54.04,0.67,,184.0,910.0,,,
2016-11-30,,,,53.37,3.29,,55.0,905.0,,,
2016-11-29,,,,50.08,-1.72,,8.0,898.0,,,
2016-11-28,,,,51.8,0.9,,31.0,698.0,,,200.0
2016-11-25,,,,50.9,-1.55,,6.0,698.0,,,
2016-11-24,,,,52.45,-0.06,,,698.0,,,
2016-11-23,,,,52.51,-0.11,,11.0,687.0,,,
2016-11-22,,,,52.62,0.16,,41.0,663.0,,,
2016-11-21,,,,52.46,1.65,,,663.0,,,
2016-11-18,,,,50.81,0.26,,14.0,663.0,,,
2016-11-17,,,,50.55,0.21,,2.0,663.0,,,
2016-11-16,,,,50.34,-0.25,,56.0,629.0,,,
2016-11-15,,,,50.59,1.92,,8.0,622.0,,,
2016-11-14,,,,48.67,-0.56,,44.0,598.0,,,
2016-11-11,,,,49.23,-1.27,,14.0,595.0,,,
2016-11-10,,,,50.5,-0.4,,,595.0,,,
2016-11-09,,,,50.9,0.47,,,595.0,,,
2016-11-08,,,,50.43,0.24,,8.0,599.0,,,
2016-11-07,,,,50.19,0.75,,16.0,614.0,,,
2016-11-04,,,,49.44,-0.47,,18.0,617.0,,,
